"","date","X.x","future.expiration","adjusted.close","sentiment","d_sent","sent_pos","sent_neg","d_sent_pos","d_sent_neg","X.y","Open","High","Low","Last","Change","Settle","Volume","Previous.Day.Open.Interest","rets","GARCH_for","GARCH_sent_for","GARCH_dsent_for","cGARCH_for","cGARCH_sent_for","cGARCH_dsent_for"
"4",2010-01-05,2,"2010-10-20",86.15,-0.0472665354092801,0.0033623765357986,0,-0.0472665354092801,0.0033623765357986,0,2,81.77,81.77,81.77,81.77,NA,81.77,258887,280580,0.00318471606751913,NA,NA,NA,NA,NA,NA
"5",2010-01-06,3,"2010-10-20",87.53,-0.0436398781464741,0.003626657262806,0,-0.0436398781464741,0.003626657262806,0,3,81.43,83.52,80.85,83.18,NA,83.18,370059,275043,0.0170965061408799,NA,NA,NA,NA,NA,NA
"6",2010-01-07,4,"2010-10-20",86.9,-0.0427713299449941,0.000868548201479996,0,-0.0427713299449941,0.000868548201479996,0,4,83.2,83.36,82.26,82.66,NA,82.66,246632,262309,-0.00627112523117912,NA,NA,NA,NA,NA,NA
"7",2010-01-08,5,"2010-10-20",87.31,-0.0424409829647979,0.000330346980196197,0,-0.0424409829647979,0.000330346980196197,0,5,82.65,83.47,81.8,82.75,NA,82.75,310377,250371,0.00108820517358588,NA,NA,NA,NA,NA,NA
"8",2010-01-11,6,"2010-10-20",87.06,-0.0498094912442752,-0.0073685082794773,0,-0.0498094912442752,0,-0.0073685082794773,6,82.88,83.95,81.96,82.52,NA,82.52,296304,226210,-0.00278332605412146,NA,NA,NA,NA,NA,NA
"9",2010-01-12,7,"2010-10-20",85.29,-0.0464539821981214,0.0033555090461538,0,-0.0464539821981214,0.0033555090461538,0,7,82.07,82.34,79.91,80.79,NA,80.79,333866,189671,-0.0211874927114337,NA,NA,NA,NA,NA,NA
"10",2010-01-13,8,"2010-10-20",84.32,-0.0441750318517356,0.0022789503463858,0,-0.0441750318517356,0.0022789503463858,0,8,80.06,80.67,78.37,79.65,NA,79.65,401627,140073,-0.0142111591355594,NA,NA,NA,NA,NA,NA
"11",2010-01-14,9,"2010-10-20",84.35,-0.0417364044657845,0.0024386273859511,0,-0.0417364044657845,0.0024386273859511,0,9,79.63,80.36,78.92,79.39,NA,79.39,401627,140073,-0.00326962061903568,NA,NA,NA,NA,NA,NA
"12",2010-01-15,10,"2010-10-20",82.91,-0.0428627580083353,-0.0011263535425508,0,-0.0428627580083353,0,-0.0011263535425508,10,79.2,79.31,77.7,78,NA,78,200555,68799,-0.0176635890474302,NA,NA,NA,NA,NA,NA
"13",2010-01-19,11,"2010-10-20",83.57,-0.0424013636650012,0.000461394343334101,0,-0.0424013636650012,0.000461394343334101,0,11,77.85,79.15,76.76,79.02,NA,79.02,186882,25198,0.0129921582936525,NA,NA,NA,NA,NA,NA
"14",2010-01-20,12,"2010-10-20",82.18,-0.0398401168225119,0.0025612468424893,0,-0.0398401168225119,0.0025612468424893,0,12,78.88,79.03,76.96,77.62,NA,77.62,186882,25198,-0.0178758590424843,NA,NA,NA,NA,NA,NA
"15",2010-01-21,13,"2010-10-20",80.42,-0.0374428597967706,0.0023972570257413,0,-0.0374428597967706,0.0023972570257413,0,13,77.56,78.36,75.66,76.08,NA,76.08,327417,366538,-0.0200397077036252,NA,NA,NA,NA,NA,NA
"16",2010-01-22,14,"2010-10-20",78.7,-0.0355641070224722,0.0018787527742984,0,-0.0355641070224722,0.0018787527742984,0,14,75.84,76.5,74.01,74.54,NA,74.54,348819,358151,-0.0204495241860219,NA,NA,NA,NA,NA,NA
"17",2010-01-25,15,"2010-10-20",79.51,-0.0443704674520038,-0.0088063604295316,0,-0.0443704674520038,0,-0.0088063604295316,15,74.24,75.42,74.06,75.26,NA,75.26,280559,359909,0.00961289111417862,NA,NA,NA,NA,NA,NA
"18",2010-01-26,16,"2010-10-20",78.83,-0.0431074732411795,0.0012629942108243,0,-0.0431074732411795,0.0012629942108243,0,16,75.28,75.39,73.82,74.71,NA,74.71,256207,352878,-0.00733483317758132,NA,NA,NA,NA,NA,NA
"19",2010-01-27,17,"2010-10-20",77.84,-0.0418478801193072,0.0012595931218723,0,-0.0418478801193072,0.0012595931218723,0,17,74.69,75.09,72.65,73.67,NA,73.67,356179,346799,-0.014018291292988,NA,NA,NA,NA,NA,NA
"20",2010-01-28,18,"2010-10-20",77.6,-0.0402645800786675,0.0015833000406397,0,-0.0402645800786675,0.0015833000406397,0,18,73.75,74.49,72.93,73.64,NA,73.64,292911,341430,-0.000407304329844926,NA,NA,NA,NA,NA,NA
"21",2010-01-29,19,"2010-10-20",77.03,-0.0409177064391243,-0.0006531263604568,0,-0.0409177064391243,0,-0.0006531263604568,19,73.89,74.82,72.43,72.89,NA,72.89,335270,342928,-0.0102369009707557,NA,NA,NA,NA,NA,NA
"22",2010-02-01,20,"2010-10-20",78.58,-0.0516578584057594,-0.0107401519666351,0,-0.0516578584057594,0,-0.0107401519666351,20,72.84,74.99,72.49,74.43,NA,74.43,277411,338307,0.0209076309776979,NA,NA,NA,NA,NA,NA
"23",2010-02-02,21,"2010-10-20",81.25,-0.0477216369569978,0.0039362214487616,0,-0.0477216369569978,0.0039362214487616,0,21,74.94,77.41,74.4,77.23,NA,77.23,366269,343139,0.0369288962093535,NA,NA,NA,NA,NA,NA
"24",2010-02-03,22,"2010-10-20",81.05,-0.0437477588569606,0.0039738781000372,0,-0.0437477588569606,0.0039738781000372,0,22,76.99,78.04,76.52,76.98,NA,76.98,391294,329819,-0.00324233472557278,NA,NA,NA,NA,NA,NA
"25",2010-02-04,23,"2010-10-20",77.26,-0.0420589155930289,0.0016888432639317,0,-0.0420589155930289,0.0016888432639317,0,23,77.09,77.17,72.42,73.14,NA,73.14,523892,311435,-0.0511702351343652,NA,NA,NA,NA,NA,NA
"26",2010-02-05,24,"2010-10-20",74.81,-0.0432000243997647,-0.0011411088067358,0,-0.0432000243997647,0,-0.0011411088067358,24,73.04,73.94,69.5,71.19,NA,71.19,596142,287290,-0.0270230536054532,NA,NA,NA,NA,NA,NA
"27",2010-02-08,25,"2010-10-20",75.54,-0.0543910036228826,-0.0111909792231179,0,-0.0543910036228826,0,-0.0111909792231179,25,72.18,72.39,70.77,71.89,NA,71.89,345638,259192,0.00978481387999874,NA,NA,NA,NA,NA,NA
"28",2010-02-09,26,"2010-10-20",77.58,-0.0531503422910704,0.0012406613318122,0,-0.0531503422910704,0.0012406613318122,0,26,71.68,74.15,71.32,73.75,NA,73.75,429845,222137,0.0255438222241491,NA,NA,NA,NA,NA,NA
"29",2010-02-10,27,"2010-10-20",77.97,-0.0489224999963128,0.0042278422947576,0,-0.0489224999963128,0.0042278422947576,0,27,73.79,74.97,72.6,74.52,NA,74.52,422057,185178,0.0103865505134584,NA,NA,NA,NA,NA,NA
"30",2010-02-11,28,"2010-10-20",78.84,-0.0434536898188481,0.0054688101774647,0,-0.0434536898188481,0.0054688101774647,0,28,74.65,75.69,73.38,75.28,NA,75.28,422057,185178,0.0101469495437367,NA,NA,NA,NA,NA,NA
"31",2010-02-12,29,"2010-10-20",77.82,-0.0448532080034744,-0.0013995181846263,0,-0.0448532080034744,0,-0.0013995181846263,29,75.3,75.35,72.66,74.13,NA,74.13,335805,132577,-0.0153941866084963,NA,NA,NA,NA,NA,NA
"32",2010-02-16,30,"2010-10-20",80.51,-0.0482610022486047,-0.0034077942451303,0,-0.0482610022486047,0,-0.0034077942451303,30,74.02,77.42,73.71,77.01,NA,77.01,365032,97039,0.0381149748825305,NA,NA,NA,NA,NA,NA
"33",2010-02-17,31,"2010-10-20",80.68,-0.044167855944837,0.0040931463037677,0,-0.044167855944837,0.0040931463037677,0,31,77.32,77.82,76.53,77.33,NA,77.33,283816,80257,0.00414669506978527,NA,NA,NA,NA,NA,NA
"34",2010-02-18,32,"2010-10-20",82.02,-0.0401875682321481,0.0039802877126889,0,-0.0401875682321481,0.0039802877126889,0,32,77.29,79.29,76.32,79.06,NA,79.06,274169,53120,0.022125079247596,NA,NA,NA,NA,NA,NA
"35",2010-02-19,33,"2010-10-20",82.33,-0.0367588269098822,0.0034287413222659,0,-0.0367588269098822,0.0034287413222659,0,33,78.37,80.1,77.76,79.81,NA,79.81,183234,27761,0.00944175201937725,NA,NA,NA,NA,NA,NA
"36",2010-02-22,34,"2010-10-20",82.7,-0.0250230682075309,0.0117357587023513,0,-0.0250230682075309,0.0117357587023513,0,34,80,80.25,80,80.16,NA,80.16,183234,27761,0.00437582744863718,NA,NA,NA,NA,NA,NA
"37",2010-02-23,35,"2010-10-20",81.42,-0.0238046278470544,0.0012184403604765,0,-0.0238046278470544,0.0012184403604765,0,35,80.25,80.25,78.86,78.86,NA,78.86,316878,269101,-0.016350508887073,NA,NA,NA,NA,NA,NA
"38",2010-02-24,36,"2010-10-20",82.32,-0.0229609522559099,0.0008436755911445,0,-0.0229609522559099,0.0008436755911445,0,36,79.13,80.45,78.25,80,NA,80,289321,276051,0.0143525062243999,NA,NA,NA,NA,NA,NA
"39",2010-02-25,37,"2010-10-20",80.48,-0.0218695189064359,0.001091433349474,0,-0.0218695189064359,0.001091433349474,0,37,80.31,80.32,77.05,78.17,NA,78.17,346025,268707,-0.0231406924416424,NA,NA,NA,NA,NA,NA
"40",2010-02-26,38,"2010-10-20",81.85,-0.0175752598254156,0.0042942590810203,0,-0.0175752598254156,0.0042942590810203,0,38,78.33,80.05,77.82,79.66,NA,79.66,319038,259774,0.0188816355212591,NA,NA,NA,NA,NA,NA
"41",2010-03-01,39,"2010-10-20",81.05,-0.0188493736314621,-0.0012741138060465,0,-0.0188493736314621,0,-0.0012741138060465,39,79.84,80.62,78.06,78.7,NA,78.7,298718,256275,-0.0121244223301407,NA,NA,NA,NA,NA,NA
"42",2010-03-02,40,"2010-10-20",81.92,-0.0142728978410534,0.0045764757904087,0,-0.0142728978410534,0.0045764757904087,0,40,78.88,80.95,78.26,79.68,NA,79.68,301698,255628,0.0123754578529853,NA,NA,NA,NA,NA,NA
"43",2010-03-03,41,"2010-10-20",83.08,-0.0152524563259833,-0.0009795584849299,0,-0.0152524563259833,0,-0.0009795584849299,41,79.64,81.23,79.44,80.87,NA,80.87,306910,253332,0.0148243138313884,NA,NA,NA,NA,NA,NA
"44",2010-03-04,42,"2010-10-20",82.77,-0.0161539152001923,-0.000901458874209001,0,-0.0161539152001923,0,-0.000901458874209001,42,81.01,81.09,79.7,80.21,NA,80.21,278889,249894,-0.00819473172889751,NA,NA,NA,NA,NA,NA
"45",2010-03-05,43,"2010-10-20",84.06,-0.00976832113445468,0.00638559406573762,0,-0.00976832113445468,0.00638559406573762,0,43,80.58,82.07,80.47,81.5,NA,81.5,299634,239885,0.0159548248679835,NA,NA,NA,NA,NA,NA
"46",2010-03-08,44,"2010-10-20",84.54,0.0108027142600854,0.0205710353945401,0.0108027142600854,0,0.0205710353945401,0,44,81.79,82.41,80.75,81.87,NA,81.87,295351,215766,0.00452960314154005,NA,NA,NA,NA,NA,NA
"47",2010-03-09,45,"2010-10-20",84.08,0.0116193437387282,0.0008166294786428,0.0116193437387282,0,0.0008166294786428,0,45,81.75,81.91,80.16,81.49,NA,81.49,332133,212892,-0.00465231005622879,NA,NA,NA,NA,NA,NA
"48",2010-03-10,46,"2010-10-20",84.4,0.0118847493772693,0.000265405638541098,0.0118847493772693,0,0.000265405638541098,0,46,81.38,83.03,80.81,82.09,NA,82.09,430148,190419,0.00733589302804649,NA,NA,NA,NA,NA,NA
"49",2010-03-11,47,"2010-10-20",84.48,0.013909204159132,0.0020244547818627,0.013909204159132,0,0.0020244547818627,0,47,81.98,82.38,81.33,82.11,NA,82.11,279161,162820,0.000243605360522814,NA,NA,NA,NA,NA,NA
"50",2010-03-12,48,"2010-10-20",83.39,0.0149340303516201,0.0010248261924881,0.0149340303516201,0,0.0010248261924881,0,48,82.2,83.16,80.57,81.24,NA,81.24,337201,153514,-0.0106520750085135,NA,NA,NA,NA,NA,NA
"51",2010-03-15,49,"2010-10-20",81.9,0.0156792435744452,0.000745213222825098,0.0156792435744452,0,0.000745213222825098,0,49,81.13,81.31,79.13,79.8,NA,79.8,283135,112260,-0.0178842322564208,NA,NA,NA,NA,NA,NA
"52",2010-03-16,50,"2010-10-20",83.54,0.0166376246687173,0.000958381094272102,0.0166376246687173,0,0.000958381094272102,0,50,79.84,82.04,79.32,81.7,NA,81.7,290180,104766,0.023530497410194,NA,NA,NA,NA,NA,NA
"53",2010-03-17,51,"2010-10-20",84.68,0.0162903824068368,-0.000347242261880501,0.0162903824068368,0,0,-0.000347242261880501,51,82.05,83.09,81.72,82.93,NA,82.93,275205,72916,0.0149428765971553,NA,NA,NA,NA,NA,NA
"54",2010-03-18,52,"2010-10-20",84.35,0.018617603046726,0.0023272206398892,0.018617603046726,0,0.0023272206398892,0,52,82.85,82.85,81.68,82.2,NA,82.2,208343,52698,-0.00884157640097794,NA,NA,NA,NA,NA,NA
"55",2010-03-19,53,"2010-10-20",82.8,0.0184757766336653,-0.000141826413060701,0.0184757766336653,0,0,-0.000141826413060701,53,82.17,82.17,79.86,80.68,NA,80.68,150682,23497,-0.0186645889761232,NA,NA,NA,NA,NA,NA
"56",2010-03-22,54,"2010-10-20",83.46,0.0261417272580683,0.007665950624403,0.0261417272580683,0,0.007665950624403,0,54,80.93,81.49,78.57,81.25,NA,81.25,150682,23497,0.00704010812383515,NA,NA,NA,NA,NA,NA
"57",2010-03-23,55,"2010-10-20",83.63,0.0280554696485282,0.0019137423904599,0.0280554696485282,0,0.0019137423904599,0,55,81.81,82.2,80.85,81.91,NA,81.91,261873,337421,0.00809026231766374,NA,NA,NA,NA,NA,NA
"58",2010-03-24,56,"2010-10-20",82.53,0.0277233350422305,-0.000332134606297701,0.0277233350422305,0,0,-0.000332134606297701,56,81.58,81.64,79.88,80.61,NA,80.61,307763,329334,-0.0159983722320005,NA,NA,NA,NA,NA,NA
"59",2010-03-25,57,"2010-10-20",82.53,0.0279844875606635,0.000261152518433002,0.0279844875606635,0,0.000261152518433002,0,57,80.25,81.48,80.2,80.53,NA,80.53,296271,317719,-0.000992925488056073,NA,NA,NA,NA,NA,NA
"60",2010-03-26,58,"2010-10-20",82,0.0262511222846889,-0.0017333652759746,0.0262511222846889,0,0,-0.0017333652759746,58,80.13,81.46,79.54,80,NA,80,324607,317920,-0.00660315113357246,NA,NA,NA,NA,NA,NA
"61",2010-03-29,59,"2010-10-20",83.87,0.0405157336930202,0.0142646114083313,0.0405157336930202,0,0.0142646114083313,0,59,80.24,82.78,80.18,82.17,NA,82.17,311042,324963,0.026763637269215,NA,NA,NA,NA,NA,NA
"62",2010-03-30,60,"2010-10-20",84.01,0.0356052917022429,-0.0049104419907773,0.0356052917022429,0,0,-0.0049104419907773,60,82.5,82.74,81.77,82.37,NA,82.37,244435,313903,0.00243102101006087,NA,NA,NA,NA,NA,NA
"63",2010-03-31,61,"2010-10-20",85.34,0.03798453931954,0.0023792476172971,0.03798453931954,0,0.0023792476172971,0,61,82.5,83.85,82.22,83.76,NA,83.76,244435,313903,0.0167342736091243,NA,NA,NA,NA,NA,NA
"64",2010-04-01,62,"2010-10-20",86.67,0.0419609195189508,0.0039763801994108,0.0419609195189508,0,0.0039763801994108,0,62,83.36,85.37,83.21,84.87,NA,84.87,3536,317046,0.0131651074193044,NA,NA,NA,NA,NA,NA
"65",2010-04-05,63,"2010-10-20",88.53,0.025200172790708,-0.0167607467282428,0.025200172790708,0,0,-0.0167607467282428,63,85.31,86.9,85.06,86.62,NA,86.62,244106,312116,0.0204100618048946,NA,NA,NA,NA,NA,NA
"66",2010-04-06,64,"2010-10-20",89.01,0.025509800715875,0.000309627925167002,0.025509800715875,0,0.000309627925167002,0,64,86.74,87.09,86.13,86.84,NA,86.84,290480,298193,0.00253660922361032,NA,NA,NA,NA,NA,NA
"67",2010-04-07,65,"2010-10-20",88.58,0.0269805892078613,0.0014707884919863,0.0269805892078613,0,0.0014707884919863,0,65,86.76,87,85.52,85.88,NA,85.88,379528,287607,-0.0111163719995107,NA,NA,NA,NA,NA,NA
